accession_id,virus_name,location,collection_date
EPI_ISL_412052,hCoV-19/China/HKU-SZ-007a/2020,Asia / China,2020-01
EPI_ISL_424034,hCoV-19/England/20129036404/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425365,hCoV-19/England/CAMB-74CD6/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_412053,hCoV-19/China/HKU-SZ-007b/2020,Asia / China,2020-01
EPI_ISL_424033,hCoV-19/England/20129036204/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425364,hCoV-19/England/CAMB-74CC7/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_412054,hCoV-19/China/HKU-SZ-007c/2020,Asia / China,2020-01
EPI_ISL_424032,hCoV-19/England/20129036004/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425363,hCoV-19/England/CAMB-74CA9/2020,Europe / United Kingdom / England,2020-03-16
EPI_ISL_424031,hCoV-19/England/20129035804/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425362,hCoV-19/England/CAMB-74C8B/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_424030,hCoV-19/England/20129035504/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425361,hCoV-19/England/CAMB-74C5E/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_425360,hCoV-19/England/CAMB-74C4F/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_424029,hCoV-19/England/20129035404/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_424028,hCoV-19/England/20129035304/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_425359,hCoV-19/England/CAMB-74C30/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_424027,hCoV-19/England/20129034704/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_425358,hCoV-19/England/CAMB-74C21/2020,Europe / United Kingdom / England,2020-03-16
EPI_ISL_424026,hCoV-19/England/20129034504/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_425357,hCoV-19/England/CAMB-74C12/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_424025,hCoV-19/England/20129033904/2020,Europe / United Kingdom / England,2020-03-20
